round,loss,accuracy,recall,precision,f1,noisy_accuracy_0.1,privacy_budget_0.1,noisy_accuracy_1,privacy_budget_1,noisy_accuracy_2,privacy_budget_2,noisy_accuracy_5,privacy_budget_5,noisy_accuracy_10,privacy_budget_10
10,0.11632540822029114,0.9588220811423949,0.9364312202323415,0.9803856627658791,0.9579044828175142,0.9588220811423949,48.44805262605389,0.6762833476953379,4.844805262605389,0.5896101155408614,2.4224026313026945,0.535453634173364,0.9689610525210778,0.5186237096178534,0.4844805262605389
11,0.11673058569431305,0.9592793204720117,0.9376638457342928,0.9799933801625538,0.9583614310504499,0.9592793204720117,48.44805262605389,0.6768988621775144,4.844805262605389,0.5911489017463025,2.4224026313026945,0.5375551764767951,0.9689610525210778,0.5193623269964652,0.4844805262605389
12,0.11532518267631531,0.9591386314475142,0.9374046337057369,0.9802296152294319,0.9583389365536161,0.9591386314475142,48.44805262605389,0.6759492112621565,4.844805262605389,0.5881504669117,2.4224026313026945,0.5387949985051791,0.9689610525210778,0.5192656032921231,0.4844805262605389
13,0.11722263693809509,0.9581889805321563,0.9345861753744462,0.9809214532169678,0.9571933994112405,0.9581889805321563,48.44805262605389,0.6757821430455656,4.844805262605389,0.5890297733148093,2.4224026313026945,0.5356294954539859,0.9689610525210778,0.5159857904085258,0.4844805262605389
14,0.11811213940382004,0.9582857042364983,0.9354419486837252,0.9803434376898018,0.9573665007099592,0.9582857042364983,48.44805262605389,0.6732233614125178,4.844805262605389,0.5921249318537538,2.4224026313026945,0.5373353498760178,0.9689610525210778,0.5151240701334787,0.4844805262605389
15,0.11701060086488724,0.9592705274079806,0.9381638780132381,0.9796498304152534,0.9584581442485336,0.9592705274079806,48.44805262605389,0.6767230008968925,4.844805262605389,0.589003394122716,2.4224026313026945,0.5369660411867119,0.9689610525210778,0.5164430297381426,0.4844805262605389
16,0.11654449254274368,0.9589715632309235,0.9367907519355181,0.9798476556722379,0.9578355713795161,0.9589715632309235,48.44805262605389,0.6734871533334506,4.844805262605389,0.5926613087596504,2.4224026313026945,0.5338884687758296,0.9689610525210778,0.5201624958232945,0.4844805262605389
17,0.11524833738803864,0.9598684557620949,0.9379971840901091,0.9808421362582355,0.9589413267601072,0.9598684557620949,48.44805262605389,0.671614230694828,4.844805262605389,0.5903839051755975,2.4224026313026945,0.5382234493431581,0.9689610525210778,0.5158802736401527,0.4844805262605389
18,0.11575528979301453,0.9596750083534108,0.9378386937856288,0.9806277135918757,0.9587560256133534,0.9596750083534108,48.44805262605389,0.6765295534882085,4.844805262605389,0.5903663190475353,2.4224026313026945,0.5378805198459455,0.9689610525210778,0.5184390552732004,0.4844805262605389
19,0.11557503789663315,0.9590946661273587,0.9366352974225718,0.9808236808236809,0.9582203222387872,0.9590946661273587,48.44805262605389,0.6755623164447884,4.844805262605389,0.5930833758331429,2.4224026313026945,0.535638288518017,0.9689610525210778,0.5171992332448165,0.4844805262605389
20,0.11501270532608032,0.9600970754269033,0.9380549571796354,0.9816542345545516,0.9593594956207125,0.9600970754269033,48.44805262605389,0.6762393823751824,4.844805262605389,0.5908059722490899,2.4224026313026945,0.5351458769322758,0.9689610525210778,0.5196964634296467,0.4844805262605389
21,0.11644876003265381,0.9582417389163428,0.935769676128987,0.9800091869545245,0.9573786381626773,0.9582417389163428,48.44805262605389,0.6756150748289749,4.844805262605389,0.5916149341399504,2.4224026313026945,0.5374848319645463,0.9689610525210778,0.5176652656384644,0.4844805262605389
22,0.11655886471271515,0.9590946661273587,0.9369636558271766,0.9805329562358818,0.9582533158640989,0.9590946661273587,48.44805262605389,0.6749555950266429,4.844805262605389,0.5873327119568085,2.4224026313026945,0.5365791463693439,0.9689610525210778,0.51505372562123,0.4844805262605389
23,0.11611832678318024,0.9596750083534108,0.9372836990320257,0.9813128805017565,0.9587930848578513,0.9596750083534108,48.44805262605389,0.6770835165221674,4.844805262605389,0.5898827005258253,2.4224026313026945,0.5355855301338305,0.9689610525210778,0.5188259500905685,0.4844805262605389
24,0.11543311923742294,0.959886041890157,0.9381320224719101,0.9809450379997797,0.9590609688245957,0.959886041890157,48.44805262605389,0.6772505847387581,4.844805262605389,0.5916149341399504,2.4224026313026945,0.5370979371471784,0.9689610525210778,0.5171992332448165,0.4844805262605389
25,0.11680222302675247,0.9591738037036386,0.9364038164725691,0.9813075523370155,0.9583299677804403,0.9591738037036386,48.44805262605389,0.6757733499815346,4.844805262605389,0.5923975168387177,2.4224026313026945,0.5327277843237255,0.9689610525210778,0.5196437050454601,0.4844805262605389
26,0.11735548824071884,0.9586725990538663,0.9362171628721541,0.9805928534742094,0.9578913417431192,0.9586725990538663,48.44805262605389,0.6757293846613791,4.844805262605389,0.592045794277474,2.4224026313026945,0.5349612225876229,0.9689610525210778,0.5190721558834391,0.4844805262605389
27,0.11551734805107117,0.9594727678806957,0.9376494163971312,0.9804790177012297,0.9585860491863673,0.9594727678806957,48.44805262605389,0.6760107627103741,4.844805262605389,0.5917556231644479,2.4224026313026945,0.5377486238854792,0.9689610525210778,0.5156428609113132,0.4844805262605389
28,0.11826719343662262,0.9585670822854933,0.9360214488487015,0.9805235332990675,0.9577558229187213,0.9585670822854933,48.44805262605389,0.6751314563072648,4.844805262605389,0.5912104531945201,2.4224026313026945,0.534398466489633,0.9689610525210778,0.5183511246328896,0.4844805262605389
